"uni","t","qC","pC"
"ctje","2014",315.988846865439,0.944336756625948
"ctje","2015",322.609930143094,0.952965561425686
"ctje","2016",336.903767365958,0.956208705041006
"ctje","2017",347.617293323714,0.969712487550973
"ctje","2018",359.435556515917,0.981797965499959
"ctje","2019",366.141825385796,0.992046623530986
"ctje","2020",331.1646181,1
"ctje","2021",352.333143212759,1.01861049310832
"ctje","2022",370.672691219522,1.07407158320444
"ctje","2023",364.068636094917,1.14026680049103
"ctje","2024",369.23402991928,1.19067543742979
"ctje","2025",381.057988578662,1.21850463392525
"ctur","1967",9.64544002297845,0.119220066400341
"ctur","1968",9.60893063525334,0.12985857088218
"ctur","1969",9.9198598080015,0.135679135194468
"ctur","1970",10.0934929582476,0.146543224047267
"ctur","1971",10.4647944718776,0.158061584911683
"ctur","1972",11.0923307420662,0.166436887154711
"ctur","1973",12.4380640746212,0.174151297742528
"ctur","1974",11.881813198626,0.192470118976829
"ctur","1975",13.0170002830573,0.206198044221721
"ctur","1976",14.6125388231699,0.221533303635581
"ctur","1977",16.6471782682197,0.242191615602323
"ctur","1978",17.5203035912458,0.25601611162955
"ctur","1979",19.7103575918722,0.289359894837821
"ctur","1980",17.7547204997881,0.344716944435877
"ctur","1981",15.9131842201485,0.402116189410913
"ctur","1982",16.8945971518088,0.458134806675241
"ctur","1983",15.8084618797097,0.48590122546072
"ctur","1984",16.6817534385536,0.52967027911942
"ctur","1985",18.9975349542622,0.547574884059689
"ctur","1986",24.1285411023798,0.512631283736422
"ctur","1987",26.6346671210199,0.509971344424291
"ctur","1988",27.2776340904012,0.534431576862082
"ctur","1989",25.6299960142679,0.581643321040751
"ctur","1990",27.9658839240739,0.574492086272651
"ctur","1991",25.0669849007103,0.610907337306692
"ctur","1992",26.7122485439668,0.616440767721111
"ctur","1993",21.2129269729898,0.648304546445232
"ctur","1994",22.2942059803791,0.666544169058015
"ctur","1995",25.3080501275511,0.611994876015314
"ctur","1996",23.7641170237698,0.638440173679688
"ctur","1997",25.261949881936,0.692790900219249
"ctur","1998",26.8289023018744,0.708832392247048
"ctur","1999",30.1290692750931,0.738827303185295
"ctur","2000",30.2048847053189,0.795460642687671
"ctur","2001",32.0987632370697,0.810447611575169
"ctur","2002",37.0220770763697,0.82470297214869
"ctur","2003",36.0463426735245,0.811082008091594
"ctur","2004",34.9992357028651,0.819398436110772
